row,col,x,y
7,5,1199.430,465.716
7,6,1288.834,465.247
7,7,1378.237,464.779
7,8,1467.641,464.310
7,9,1557.045,463.842
7,10,1646.448,463.373
7,11,1735.852,462.905
7,12,1825.256,462.436
7,13,1914.659,461.968
7,14,2004.063,461.499
7,15,2093.466,461.030
7,16,2182.870,460.562
7,17,2272.274,460.093
7,18,2361.677,459.625
7,19,2451.081,459.156
7,20,2540.485,458.688
7,21,2629.888,458.219
7,22,2719.292,457.750
7,23,2808.696,457.282
7,24,2898.099,456.813
7,25,2987.503,456.345
7,26,3076.907,455.876
7,27,3166.310,455.408
7,28,3255.714,454.939
7,29,3345.118,454.471
8,0,701.471,482.353
8,1,794.548,481.886
8,2,887.625,481.420
8,3,980.702,480.953
8,4,1073.779,480.487
8,5,1166.856,480.020
8,6,1259.933,479.554
8,7,1353.010,479.087
8,8,1446.087,478.621
8,9,1539.164,478.154
8,10,1632.241,477.688
8,11,1725.319,477.221
8,12,1818.396,476.755
8,13,1911.473,476.288
8,14,2004.550,475.822
8,15,2097.627,475.355
8,16,2190.704,474.888
8,17,2283.781,474.422
8,18,2376.858,473.955
8,19,2469.935,473.489
8,20,2563.012,473.022
8,21,2656.089,472.556
8,22,2749.167,472.089
8,23,2842.244,471.623
8,24,2935.321,471.156
8,25,3028.398,470.690
8,26,3121.475,470.223
8,27,3214.552,469.757
8,28,3307.629,469.290
8,29,3400.706,468.824
9,0,650.529,496.647
9,1,747.280,496.183
9,2,844.030,495.718
9,3,940.781,495.254
9,4,1037.531,494.789
9,5,1134.282,494.325
9,6,1231.032,493.860
9,7,1327.783,493.396
9,8,1424.533,492.931
9,9,1521.284,492.467
9,10,1618.034,492.002
9,11,1714.785,491.538
9,12,1811.536,491.073
9,13,1908.286,490.609
9,14,2005.036,490.144
9,15,2101.787,489.680
9,16,2198.538,489.215
9,17,2295.288,488.751
9,18,2392.038,488.286
9,19,2488.789,487.822
9,20,2585.540,487.357
9,21,2682.290,486.893
9,22,2779.041,486.428
